,project,link,amount,tags,dune_namespace,oso_name
150,dForce,https://vote.optimism.io/retropgf/3/application/0x03a6b6d06964fe9fe43aba6058e2369640a18fb38bf650c587184cd16015fb70,0.0,RetroPGF3,dForce,dforce-network
151,dForce,https://gov.optimism.io/t/ready-gf-phase-1-proposal-dforce/2420/15,300000.0,"Grants Season 1, Cycle 2 (Phase 1)",dForce,dforce-network
152,dForce,https://gov.optimism.io/t/draft-gf-cycle-11-proposall-dforce-one-stop-shop-for-defi-solutions-on-optimism/5482,200000.0,"Grants Season 3, Cycle 11",dForce,dforce-network
153,dHEDGE DAO,https://gov.optimism.io/t/review-gf-phase-1-proposal-dhedge-v2-revised/3321,350000.0,"Grants Season 2, Cycle 6 (Phase 1)",dHedge,d-hedge
154,deBridge,https://app.charmverse.io/op-grants/proposals?id=43a2729f-877f-4fed-a392-36b5bd30233c,100000.0,"Grants Season 4, Cycle 13, Growth Grant",deBridge,debridge-finance
155,dm3 Protocol,https://gov.optimism.io/t/dm3-protocol-messaging-as-a-public-good/5505,50000.0,"Grants Season 3, Cycle 11, Builders Grant",dm3 Protocol,dm3-protocol
156,dm3 protocol,https://app.optimism.io/retropgf-discovery/0x1d921dff757610FbDB0073479e12c0a07d382677,10197.0,RetroPGF2,dm3 Protocol,dm3-protocol
157,dm3 protocol.,https://vote.optimism.io/retropgf/3/application/0xa97288157a5dbd10e18e03c08b6434e4999a7741ec8f4b5e5d10d5638560e7a4,29813.79,RetroPGF3,dm3 Protocol,dm3-protocol
158,xToken Terminal and Gamma Strategies,https://gov.optimism.io/t/ready-gf-phase-1-xtoken-terminal-and-gamma-strategies/3001,900000.0,"Grants Season 1, Cycle 4 (Phase 1), Incentive Program Launched",xToken,x-token
159,Optimism Solidity Survivor Bootcamp,https://app.charmverse.io/op-grants/page-6305100104213606,32123.0,"Grants Season 4, Cycle 14, Builders Grant",,0xbcamp
160,0xPARC,https://app.optimism.io/retropgf-discovery/0x5401745963974c22F8f8254a2A904Ea5f54ddc22,206054.0,RetroPGF2,,0xparc
161,1W3,https://vote.optimism.io/retropgf/3/application/0x54763940f1803ecdd2adf48c1446268cdc3aa02e11090189cf91a78615c89d23,19875.86,RetroPGF3,,1w3
162,abi-to-sol,https://vote.optimism.io/retropgf/3/application/0x8af099c741d009e71850d3a9570e2672078ad7ca5b3ee391a7d4a0b75f845be4,58132.41,RetroPGF3,,abi-to-sol-gnidan
163,Aerodrome Finance,https://vote.optimism.io/retropgf/3/application/0x8a98ca3820628543b412f97cfb5e9d0b75987432daf1d6199a658234727c8564,104348.25,RetroPGF3,,aerodrome-finance
164,Aestus Relay,https://vote.optimism.io/retropgf/3/application/0x5c465f2cece28e1ba91ef5967549fec63f8b17212fba05e5e0117b442af554b8,97294.31,RetroPGF3,,aestus-relay
165,Guild.xyz,https://vote.optimism.io/retropgf/3/application/0x867d2124127d8e8cca1dffa619fce4279b29312553774c585be90c0427a81c39,99379.28,RetroPGF3,,guildxyz
166,Airgap Wallet,https://gov.optimism.io/t/ready-builders-cycle-11-integration-of-optimism-into-airgap-vault-airgap-wallet-and-airgap-coin-lib/5402,18000.0,"Grants Season 3, Cycle 11, Builders Grant",,airgap-it
167,Akula,https://app.optimism.io/retropgf-discovery/0x9d6d3b09F8AC8615805bd82e53B80D956F451CFa,39664.0,RetroPGF2,,akula-bft
168,Alchemy,https://vote.optimism.io/retropgf/3/application/0xa771de85e1b955ba11b2cb314b940ab3d9aab65fd27900fd54c7f7011c969d46,74534.46,RetroPGF3,,alchemyplatform
169,DAC on OP Stack,https://vote.optimism.io/retropgf/3/application/0xf2be22e439749a342bfe13feb107007c7f3f3ff438d869fad8befdf3169d8ee4,49689.64,RetroPGF3,,alembic-tech
170,Alloy,https://vote.optimism.io/retropgf/3/application/0xc7f3dfa39edf399c56c96c2c192f50e54e71faefd01a07a8b3d9e6d9471ed09c,77515.84,RetroPGF3,,alloy-rs
171,Mike-Alphaday,https://vote.optimism.io/retropgf/3/application/0xa5a8c932998fe9a2bd783bc249eb714e4c318e961b16f5fc4880224c0c915ed9,0.0,RetroPGF3,,alphadayhq
172,Ankr,https://app.optimism.io/retropgf-discovery/0x5eEeB9F8a2050533BBEd20F87d445Dcf309a5eA7,8603.0,RetroPGF2,,ankr-network
173,anotherblock,https://vote.optimism.io/retropgf/3/application/0x709b9997ca752016352dd68ed316bf912105a1a476c25c44cbf1809686fa8bbc,49689.64,RetroPGF3,,anotherblock
174,ApeWorX LTD,https://vote.optimism.io/retropgf/3/application/0x6655fe259700452b0452aad4b8c7589c745e7df2dccefe76d70701317fd9e3b8,99379.28,RetroPGF3,,apeworx
175,Arbiter,https://vote.optimism.io/retropgf/3/application/0x64f7a2367e5de2ebdcadd967385bc304f0221568276247dae792e86d608b402a,52174.12,RetroPGF3,,arbiter-primitivefinance
176,ARPA Randcast,https://vote.optimism.io/retropgf/3/application/0xb44ac303c0dcb238771f0c33978f5ae49635c364e68089886bdca1d7b1233e7a,0.0,RetroPGF3,,arpa-network
177,Atlantis World,https://app.charmverse.io/op-grants/proposals?id=c75c2bba-71d0-4287-9481-e81204148f40,50000.0,"Grants Season 4, Cycle 13, Builders Grant",,atlantis-world-core
178,Atlantis World,https://app.optimism.io/retropgf-discovery/0x036C545Ae4f68059b4C83f7E3814429d4c73c089,23656.0,RetroPGF2,,atlantis-world-core
179,ERC-5560: Redeemable NFTs,https://app.optimism.io/retropgf-discovery/0x5874D5D530D1f969FD962579c445A0f3A8682D48,1073.0,RetroPGF2,,ato-nft
180,Attestation Station Interface,https://gov.optimism.io/t/draft-gf-phase-1-proposal-attestation-station-interface/4827,20000.0,"Grants Season 3, Cycle 10, Builders Grant",,attestation-station-interface-sbvegan
181,Attestation Station Interface,https://app.optimism.io/retropgf-discovery/0x5EfF4B8c042AA6003cBDA6E32C4aA23657d3b6AF,44342.0,RetroPGF2,,attestation-station-interface-sbvegan
182,TechNERD Program,https://vote.optimism.io/retropgf/3/application/0xf7c02a1b2ca36e04e1c42ec8238a3d18ee6952aa6055f64cc832fbc45a4213d1,50461.82,RetroPGF3,,attestation-station-interface-sbvegan
183,Xanny,https://vote.optimism.io/retropgf/3/application/0x4549e4350b5665b8baddddf4e8795667a16dcc1a922ec38f80bf80bbb61cc576,4968.96,RetroPGF3,,attestation-visualizer-xvoorvaa
184,Reputation & Roles,https://app.charmverse.io/op-grants/page-23303127376120303,30000.0,"Grants Season 4, Cycle 15, Builders Grant",,atxdao
185,AW House/Komorebi's Hacker House,https://vote.optimism.io/retropgf/3/application/0xda538dc56054ec05476e152009df9af3e1947505e067b8363dd568a0d89c739d,76445.53,RetroPGF3,,aw-labs
186,Autonomous World Ecosystem - AW House (Cycle 15),https://app.charmverse.io/op-grants/page-7215315141818317,35000.0,"Grants Season 4, Cycle 15, Builders Grant",,aw-labs
187,Awesome Optimism,https://vote.optimism.io/retropgf/3/application/0x1d865a703d9c84fa4b5d97f84d399b0a785f64d0ae99716a306e698035412c54,9937.93,RetroPGF3,,awesome-optimism-lucas-op
188,AyaHQ,https://vote.optimism.io/retropgf/3/application/0xd57877d44413352f5bdc2197304056fd24dcf3eea5b6c86a17177feb838468e0,28291.29,RetroPGF3,,aya-labs
189,Bankless Academy,https://vote.optimism.io/retropgf/3/application/0x11d02544f79918bd8af9755f8a14e0188db0aadfaab274c6cf0b97d3da295ec7,24357.86,RetroPGF3,,bankless-academy
190,Bankless Academy,https://app.optimism.io/retropgf-discovery/0xB30dD1198Feed1e22EC969f61EEd04cB75937adf,58067.0,RetroPGF2,,bankless-academy
191,Bankless Academy v2,https://gov.optimism.io/t/ready-gf-phase-1-proposal-bankless-academy-v2/3353,33000.0,"Grants Season 2, Cycle 6 (Phase 1)",,bankless-academy
192,Bankless Academy: Multi-lingual Lesson on Optimism Governance,https://gov.optimism.io/t/final-multi-lingual-lesson-on-optimism-governance-by-bankless-academy/6134,34000.0,"Missions Season 4, Cycle 13, Intent 4, Builders Grant",,bankless-academy
193,Taxman: The Web3 Income Tax Helper ,https://vote.optimism.io/retropgf/3/application/0x36095c75011838036c512484b03c67dc9d23dcbaf5f87d413a270d256dd5bb4e,21371.52,RetroPGF3,,bankless-card
194,Base Punk,https://vote.optimism.io/retropgf/3/application/0xbe242c7f7734a53649ee419283e72ff164020d8ab6b42656e7393d9db8915094,0.0,RetroPGF3,,basepunkorg
195,beaconcha.in,https://vote.optimism.io/retropgf/3/application/0xa0498cfa249bc5a542fa793407d47f31e0d090e1edf767bd1d72f7869bbbe534,223603.39,RetroPGF3,,beacon-chain
196,beaconcha.in,https://app.optimism.io/retropgf-discovery/0xd9ED89A0f4cfbC1be4b7b1aA744b5bd25ACA9979,105837.0,RetroPGF2,,beacon-chain
197,Balancer & BeethovenX,https://gov.optimism.io/t/ready-gf-phase-1-proposal-balancer-beethovenx/2658,500000.0,"Grants Season 1, Cycle 2 (Phase 1)",,beethoven-x
198,Hyperledger Besu,https://app.optimism.io/retropgf-discovery/0xe4Eb51D709D22FE02C42F68A0483fa70A772e984,48486.0,RetroPGF2,,besu-hyperledger
199,Blobscan,https://vote.optimism.io/retropgf/3/application/0xaa5c01558feace0ee3dde7cca66d30b81b6f097f26405aa0a4e6fdc1885adf5b,99379.28,RetroPGF3,,blobscan
200,Blobscan,https://app.optimism.io/retropgf-discovery/0xd7BDE01888B8A2a97924444009E31C8d8c2391F3,40012.0,RetroPGF2,,blobscan
201,0xs34n,https://vote.optimism.io/retropgf/3/application/0x96b420d4a9c0cacc124d46cc85e29dcccd8811e3119f01dd336954af17843bb7,24357.86,RetroPGF3,,blockchain-cli-0xs34n
202,Blockhead: track/visualize/explore all of crypto/DeFi/web3 in ONE interface!,https://vote.optimism.io/retropgf/3/application/0x884d2033ce97d63efc7524f104572d0cae1d1ca48491a3774c26ccd922a15f5b,38223.26,RetroPGF3,,blockhead-darryl-yeo
203,"Blocknative Open Transaction Explorer with Optimism L2 mainnet support | RFG-1
",https://app.charmverse.io/op-grants/page-3483779137072336,30000.0,"Grants Season 4, Cycle 15, RFG1",,blocknative
204,Blocknative | Web3 Onboard,https://vote.optimism.io/retropgf/3/application/0x0a70938874b0558c1ce25ba50bb3cf18125b55a92b22171205d41a79a2680974,99379.28,RetroPGF3,,blocknative
205,Blockscout,https://app.optimism.io/retropgf-discovery/0x245cE6de47A5D44E5B73f923F1aDA4cc1688D22b,65259.0,RetroPGF2,,blockscout
206,Blockscout Block Explorer,https://vote.optimism.io/retropgf/3/application/0x995fc63a5a0c6388a57c586d8fa75ec8f3bb29b6bdc065fe93358ae848092f9e,198758.57,RetroPGF3,,blockscout
207,blst Cryptography Library,https://vote.optimism.io/retropgf/3/application/0x09154033133226c880b4e0dbcf22d8e6a0e19eafe9c548787b6ec6ac92b0bc7d,64596.53,RetroPGF3,,blst-supranational
208,blst by Supranational,https://app.optimism.io/retropgf-discovery/0x0a6CD04Ca9Ce730c709276C6868D9F2C4D9Ef1D6,40614.0,RetroPGF2,,blst-supranational
209,Boardroom,https://vote.optimism.io/retropgf/3/application/0xde2cdac6214cb7c5ebabfbf74f0038b416910f207f41be680680db18e477a820,49689.64,RetroPGF3,,boardroom-inc
210,Boardroom,https://gov.optimism.io/t/ready-gf-phase-1-proposal-boardroom/2978,100000.0,"Grants Season 1, Cycle 4 (Phase 1)",,boardroom-inc
211,Boardroom,https://app.optimism.io/retropgf-discovery/0xc1a69F906Ce4366C0C77e0219b3132FeA0969231,32480.0,RetroPGF2,,boardroom-inc
212,Bonding Curve Research Group,https://vote.optimism.io/retropgf/3/application/0x7b87da7a264b179034d1d09483889d744f7a77259049ee4afe742063167151db,49689.64,RetroPGF3,,bonding-curves
213,ERC1155 Bridge,https://vote.optimism.io/retropgf/3/application/0x31fa3f2b3ab4221bb89dd64e864339a6c59ab6658d91860e239e2491f4bb2435,0.0,RetroPGF3,,bootnodedev
214,Breadcrumbs.app,https://app.charmverse.io/op-grants/page-9658342917491014,35000.0,"Grants Season 4, Cycle 15, Builders Grant",,breadcrumbsapp
215,BrightID,https://vote.optimism.io/retropgf/3/application/0xa9833d02614a828dbce1c5a02c8c0bfd809fa0399db60f3ab9692a8421f01307,74534.46,RetroPGF3,,brightid
216,BuidlGuidl,https://app.optimism.io/retropgf-discovery/0x34aA3F359A9D614239015126635CE7732c18fDF3,224174.0,RetroPGF2,,buidlguidl
217,🏰 BuidlGuidl,https://vote.optimism.io/retropgf/3/application/0x8bf38219babafdfd18899b481056e6b9dfdf5aed56e5b91a6490cbbc72ac70b0,227602.91,RetroPGF3,,buidlguidl
218,BunnyAI,https://vote.optimism.io/retropgf/3/application/0xec28a8a5e5c37b7ed2633d2618df0b3c2ff0e3b1ffbdd401d317a90b5c884b9a,0.0,RetroPGF3,,bunnyai-justindomingue
219,Bware Labs,https://vote.optimism.io/retropgf/3/application/0xb1e3145980b63c6b80adad4ff345f8424b51b2885c13a411ffa6f37fba3aeb23,65585.86,RetroPGF3,,bwarelabs
220,BwareLabs,https://app.optimism.io/retropgf-discovery/0xE0D76bDF0Dcf83685dc41570Dd4536649119D304,2218.0,RetroPGF2,,bwarelabs
221,CANDIDE Wallet,https://app.optimism.io/retropgf-discovery/0xC2842A7653b9c2272F424a18DFf468C32d1f874D,37889.0,RetroPGF2,,candide-labs
222,Candide,https://vote.optimism.io/retropgf/3/application/0xf28fd827c67ce04a26b1ecf1f938d109f56c0977d5a2f0a0a7ecb14eb3276122,99379.28,RetroPGF3,,candide-labs
223,Candide Wallet,https://gov.optimism.io/t/ready-gf-phase-1-proposal-candide-wallet/2656/,190000.0,"Grants Season 1, Cycle 2 (Phase 1)",,candide-labs
224,Cannon-rs,https://vote.optimism.io/retropgf/3/application/0x0318efeb0360dac86e7d00df462f98e5b43b359cf6bc4f54ef857ea79d33ff0b,47702.06,RetroPGF3,,cannon-rs-badboilabs
225,Rust-cannon-template,https://app.optimism.io/retropgf-discovery/0xc0017405E287476443Ab1B342B86f2ea92Ef9F73,5996.0,RetroPGF2,,cannon-rs-badboilabs
226,ChainList,https://vote.optimism.io/retropgf/3/application/0x7d1e13db1b852828f7072e10fcfc179751c624f6a93929a3b5a4a6795d5bdec4,76445.53,RetroPGF3,,defi-llama
227,Chainlist,https://app.optimism.io/retropgf-discovery/0x40bbF4468495197b919591Dae8cb5d3fE2F52e7E,49980.0,RetroPGF2,,defi-llama
228,ChainPatrol - Real Time Security protecting the OP Collective,https://vote.optimism.io/retropgf/3/application/0x39be80ba67dcdc408202dce1462a12ef64cf5454f3b227f750d09c01c82918f9,49689.64,RetroPGF3,,chainpatrol
229,CharmVerse,https://vote.optimism.io/retropgf/3/application/0x6b71f6d6aa0190ee949d08c706f772a90e600cc55972287fdb74cbafc2ba099e,109317.21,RetroPGF3,,charmverse
230,CharmVerse,https://gov.optimism.io/t/draft-gf-phase-1-charmverse/5546,50000.0,"Grants Season 3, Cycle 11, Builders Grant",,charmverse
231,Chronicle Labs,https://vote.optimism.io/retropgf/3/application/0x4f900f5b3f1521b7bbb2c2d1da5ebee6975fa0739aacb003d466f655eed324ae,49689.64,RetroPGF3,,chronicleprotocol
232,Clearpool ,https://app.charmverse.io/op-grants/page-07234089012500222,150000.0,"Grants Season 4, Cycle 14, Growth Grant",,clearpool-finance
233,Clique,https://vote.optimism.io/retropgf/3/application/0xa9260589617014351c0138126f203c9dbb72d5983bfd9aa48c7e312764d85097,49689.64,RetroPGF3,,cliqueofficial
234,Clique,https://gov.optimism.io/t/draft-gf-phase-1-proposal-clique/4980,25000.0,"Grants Season 3, Cycle 10, Builders Grant",,cliqueofficial
235,Clique,https://app.optimism.io/retropgf-discovery/0x0B27BFb649919bE208F62244E4a09A41b0f962D0,18035.0,RetroPGF2,,cliqueofficial
236,Clique -- Accelerating the Growth for OP AttestationStation,https://app.charmverse.io/op-grants/page-04871591080646143,100000.0,"Grants Season 4, Cycle 14, Growth Grant",,cliqueofficial
237,Coinpassport,https://vote.optimism.io/retropgf/3/application/0x8c296435286bd1a2116dfe41c1323e27361af7931b007457bc5b754cfb6fdc55,0.0,RetroPGF3,,coinpassport
238,Bring Aragon and Augmented Bonding Curves to Optimism,https://app.charmverse.io/op-grants/proposals?id=628c674f-26c4-4bd0-b667-be7d666b3886,40000.0,"Grants Season 4, Cycle 13, Builders Grant",,commons-stack
239,Commons Stack,https://vote.optimism.io/retropgf/3/application/0xe3e819b9059115915280be91f45afb951f907e7ba9208cb9f979bc0d1e58a45e,69565.5,RetroPGF3,,commons-stack
240,Commons Stack,https://app.optimism.io/retropgf-discovery/0xC5A756D63C5fe67b438acBE468aA62a52093fDEf,60038.0,RetroPGF2,,commons-stack
241,Token Engineering Commons,https://vote.optimism.io/retropgf/3/application/0xfa0bb32edc38f3704e38dfa2af33310fed14f3a90928143c688643342b7f3466,59627.57,RetroPGF3,,commonsbuild
242,Concrete,https://app.charmverse.io/op-grants/proposals?id=d17cdba7-adcc-48d5-bad2-c84b8cb91409,35000.0,"Grants Season 4, Cycle 13, Builders Grant",,concrete-geth-therealbytes
243,Paco Bytes,https://vote.optimism.io/retropgf/3/application/0x43a3dfdedf7dc7ba761c2c6c39f1ff92749ec592bdaa818dd15faf42f53d0401,73252.54,RetroPGF3,,concrete-geth-therealbytes
244,Copin.io,https://vote.optimism.io/retropgf/3/application/0x2f13f29404a2aa8725336f24fcda2eadd5f15ef510db6063b5b0e5b49968c40d,27826.2,RetroPGF3,,copin-protocol
245,Covalent,https://vote.optimism.io/retropgf/3/application/0xc3606287e34909a0402a4d95c142bfc460cacdcff60474f514e4e33f653ede76,49689.64,RetroPGF3,,covalenthq
246,Crate-Crypto,https://app.optimism.io/retropgf-discovery/0x90B005a9C7B19E1E962178deA63c1becc409B90f,12116.0,RetroPGF2,,crate-crypto
247,crate crypto,https://vote.optimism.io/retropgf/3/application/0x38f7def3a807b2947526a64a1b56f99589c84ff90a3144e1628218569fd66cf2,49689.64,RetroPGF3,,crate-crypto
248,Crowdmuse,https://vote.optimism.io/retropgf/3/application/0xc2618c219f978482880af2ae3995632711a3c5a24039378e805604b1c1deee27,32795.16,RetroPGF3,,crowdmuse
249,Crust Network,https://vote.optimism.io/retropgf/3/application/0x55de5c33ffd56e471340bf62a199c25f84f0c5564e7a6f2d6e8b3a4aaabeb8f7,74534.46,RetroPGF3,,crustio
250,cryo,https://vote.optimism.io/retropgf/3/application/0xc8c29a526ab223c3ed963b4eca6a2e462a5e7b7fa33bf443b17d17a0a60e208c,49689.64,RetroPGF3,,cryo-paradigmxyz
251,CryptoStats,https://app.optimism.io/retropgf-discovery/0x69aa21403244889832609963B0028e337a834953,18549.0,RetroPGF2,,crypto-stats
252,CryptoStats & CryptoFees.info,https://vote.optimism.io/retropgf/3/application/0xae4aa2fec8bda8568083e9f482cd0a08c278959582fd6776ea1e55230a2a487a,35451.08,RetroPGF3,,crypto-stats
253,CryptoZombies,https://vote.optimism.io/retropgf/3/application/0xea51114ddd4cd331be77a9318748c5e276a2b3c34c5e220558e6fb88483bec5c,99379.28,RetroPGF3,,cryptozombieshq
254,CryptoZombies,https://app.optimism.io/retropgf-discovery/0xbb105E3c6D6406A3F0aAB98cD8D0E3a127bD6436,130578.0,RetroPGF2,,cryptozombieshq
255,Culture Blocks,https://app.charmverse.io/op-grants/page-15839212306939565,4000.0,"Grants Season 4, Cycle 14, Builders Grant",,culture-blocks
256,MultiBaas blockchain middleware,https://vote.optimism.io/retropgf/3/application/0x647d213cfe0907891af5e26a8baa386b8f6ffbaa8206219c2deab554f6f0cbcf,24844.82,RetroPGF3,,curvegrid-multibaas
257,MultiBaas blockchain middleware,https://app.charmverse.io/op-grants/page-7416874939270843,33000.0,"Grants Season 4, Cycle 15, Builders Grant",,curvegrid-multibaas
258,MultiBaas historical data,https://app.charmverse.io/op-grants/page-4678452668524904,25000.0,"Grants Season 4, Cycle 15, RFG1",,curvegrid-multibaas
259,P256Verifier,https://vote.optimism.io/retropgf/3/application/0x118a000851cf4c736497bab89993418517ac7cd9c8ede074aff408a8e0f84060,99379.28,RetroPGF3,,daimo-eth
260,Dapp-Learning,https://vote.optimism.io/retropgf/3/application/0xe74dbae19350be6155c66a28b65be982bf7b1a4db210695dde5ed2f53782a315,39751.71,RetroPGF3,,dapp-learning-dao
261,Dapp-Learning,https://app.optimism.io/retropgf-discovery/0x1F7b953113f4dFcBF56a1688529CC812865840e1,21627.0,RetroPGF2,,dapp-learning-dao
262,Dappnode,https://vote.optimism.io/retropgf/3/application/0x2b665cd3ae32a16f5cdbecc55f61abc071ed32b13398ac741c81a7d372771bad,248448.21,RetroPGF3,,dappnode
263,Dappnode: Future-proofing UI/UX of OP nodes,https://gov.optimism.io/t/final-dappnode-future-proofing-ui-ux-of-op-nodes/6189,50000.0,"Missions Season 4, Cycle 13, Ember, Builders Grant",,dappnode
264,Optimism DAppNode Package,https://app.optimism.io/retropgf-discovery/0x523d007855B3543797E0d3D462CB44B601274819,24704.0,RetroPGF2,,dappnodepackage-optimism
265,DappRadar,https://vote.optimism.io/retropgf/3/application/0xcab1256cd3698caa9028d2bd357d50587a5876530cc310b890051df99f626a76,76445.53,RetroPGF3,,dappradar
266,DappyKit - SDK for social apps,https://app.charmverse.io/op-grants/page-3087363271203305,50000.0,"Grants Season 4, Cycle 14, Builders Grant",,dappykit
267,Dasy,https://vote.optimism.io/retropgf/3/application/0xaba3b78dec1a41f6529564b951c9f5277a079cf7c2b29e78e0802af97336eb31,38548.73,RetroPGF3,,dasylang
268,DecentrAgora,https://vote.optimism.io/retropgf/3/application/0x73e0327a0ed5b09bd040f874faa140adb5b17279c39c0e7febb5c3f111b6ae61,0.0,RetroPGF3,,decentragora
269,Decentraclasses,https://vote.optimism.io/retropgf/3/application/0x7fcb54a60df19932aed931a67527d0c78c82d8d90870d946c49fe5c429a48925,0.0,RetroPGF3,,decentraschool
270,DeCommas,https://app.charmverse.io/op-grants/page-41264905632741833,40000.0,"Grants Season 4, Cycle 14, Builders Grant",,decommas
271,DeFi Africa,https://vote.optimism.io/retropgf/3/application/0xc6aefba00febddc9d0c0e0c35619ef05265c805e0fe304ce4bf5ca53a6f80d09,18429.39,RetroPGF3,,defi-africa-network
272,Wonderland,https://vote.optimism.io/retropgf/3/application/0x517fa0d1a58652b1fec28db4d4f9be287bc4d1f2fac7bac8f583de374f9534f7,57218.12,RetroPGF3,,defi-wonderland
273,6551 Studio,https://vote.optimism.io/retropgf/3/application/0x5697290de650311df3acdaabedea14aa95879c472d6f449091137d1a736339db,0.0,RetroPGF3,,defientco
274,Chaineye,https://vote.optimism.io/retropgf/3/application/0x704e1ae65341be6d169ba16441f8fd7089da05c54ac709671afca0d1a459fee1,0.0,RetroPGF3,,defieye
