,oso_slug,project_name,project_id,project_url,project_address,funder_name,funder_round_name,funder_round_type,funder_address,funding_amount,funding_currency,funding_network,funding_date
18974,0x-splits,0xSplits,,https://app.optimism.io/retropgf-discovery/0x9ebC8E61f87A301fF25a606d7C06150f856F24E2,,Optimism Foundation,RetroPGF2,,0x19793c7824be70ec58bb673ca42d2779d12581be,52154.0,OP,optimism,2023-04-01
18975,0x-splits,Splits,,https://vote.optimism.io/retropgf/3/application/0x2b4aeb64146ded169a426bde053b3f9e9e925ee740a58149d92812114af83de6,,Optimism Foundation,RetroPGF3,,0x19793c7824be70ec58bb673ca42d2779d12581be,92167.83,OP,optimism,2024-01-01
18976,1-inch,Oneinch,,https://gov.optimism.io/t/gf-phase-0-proposal-1inch-network/655,,Optimism Foundation,Grants Season 1,,0x19793c7824be70ec58bb673ca42d2779d12581be,300000.0,OP,optimism,2022-07-01
18977,aave,Aave,,https://gov.optimism.io/t/gf-phase-0-proposal-aave/1712,,Optimism Foundation,Grants Season 1,,0x19793c7824be70ec58bb673ca42d2779d12581be,300000.0,OP,optimism,2022-07-01
18978,across,Across Protocol,,https://vote.optimism.io/retropgf/3/application/0xc69423093777bdb9ea96d3047694d4de113cc4722d9832e09bb717e570ddb941,,Optimism Foundation,RetroPGF3,,0x19793c7824be70ec58bb673ca42d2779d12581be,38223.26,OP,optimism,2024-01-01
18979,across,Across Protocol,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-across-protocol-updated-template/3401,,Optimism Foundation,Grants Season 2,,0x19793c7824be70ec58bb673ca42d2779d12581be,750000.0,OP,optimism,2022-11-01
18980,across,Across Protocol,,https://app.optimism.io/retropgf-discovery/0x33DB27C21E0f7a2f3351A4C6DDceDFB9F713410b,,Optimism Foundation,RetroPGF2,,0x19793c7824be70ec58bb673ca42d2779d12581be,15039.0,OP,optimism,2023-04-01
18982,aelin,Aelin,,https://gov.optimism.io/t/gf-phase-0-proposal-aelin-protocol/1157,,Optimism Foundation,Grants Season 1,,0x19793c7824be70ec58bb673ca42d2779d12581be,900000.0,OP,optimism,2022-07-01
18983,alchemix,Alchemix,,https://gov.optimism.io/t/ready-gf-phase-1-cycle-8-proposal-alchemix/3764/2,,Optimism Foundation,Grants Season 2,,0x19793c7824be70ec58bb673ca42d2779d12581be,250000.0,OP,optimism,2022-11-01
18984,angle-protocol,Angle,,https://gov.optimism.io/t/review-gf-phase-1-proposal-angle-protocol/2552,,Optimism Foundation,Grants Season 2,,0x19793c7824be70ec58bb673ca42d2779d12581be,250000.0,OP,optimism,2022-11-01
18985,another-world,Another World,,https://vote.optimism.io/retropgf/3/application/0x7cf3ce699a7d72e767947a95cf180a72884dddfd70b306daa9e7f5be52f01ba8,,Optimism Foundation,RetroPGF3,,0x19793c7824be70ec58bb673ca42d2779d12581be,34782.75,OP,optimism,2024-01-01
18986,another-world,Another World,,https://gov.optimism.io/t/another-world-growth-experiments-cycle-11/5538,,Optimism Foundation,Grants Season 3,,0x19793c7824be70ec58bb673ca42d2779d12581be,50000.0,OP,optimism,2023-02-01
18987,ante-finance,Ante,,https://app.optimism.io/retropgf-discovery/0xa5b4f91FDE4E35Be891eA97C47D1052D8a4D75f7,,Optimism Foundation,RetroPGF2,,0x19793c7824be70ec58bb673ca42d2779d12581be,12929.0,OP,optimism,2023-04-01
18988,aura,Aura Finance,,https://app.charmverse.io/op-grants/proposals?id=0d288198-b4f6-4b1d-844e-01779ccc5d2f,,Optimism Foundation,Grants Season 4,,0x19793c7824be70ec58bb673ca42d2779d12581be,150000.0,OP,optimism,2023-09-01
